question,variant,step,tool,planned_args,agent_args,pre_ok,error
"From Lisbon, plan me a trip to a colder Northern European city.",nohint,4,confirm_booking,[],[],1,
I’d like to travel from Dublin to a scenic European city with castles.,nohint,1,set_origin,[],"[""Dublin""]",1,
I’d like to travel from Dublin to a scenic European city with castles.,nohint,2,set_destination,[],"[""Edinburgh""]",1,
I’d like to travel from Dublin to a scenic European city with castles.,nohint,3,select_transport,[],"[""flight""]",1,
I’d like to travel from Dublin to a scenic European city with castles.,nohint,4,confirm_booking,[],[],1,
"Starting in Edinburgh, I want to end up in a romantic city on the continent.",nohint,1,set_origin,[],"[""Edinburgh""]",1,
"Starting in Edinburgh, I want to end up in a romantic city on the continent.",nohint,2,set_destination,[],"[""Paris""]",1,
"Starting in Edinburgh, I want to end up in a romantic city on the continent.",nohint,3,select_transport,[],"[""flight""]",1,
"Starting in Edinburgh, I want to end up in a romantic city on the continent.",nohint,4,confirm_booking,[],[],1,
"From Montreal, I’d like to visit a famous U.S. city by train if possible.",nohint,1,set_origin,[],"[""Montreal""]",1,
"From Montreal, I’d like to visit a famous U.S. city by train if possible.",nohint,2,set_destination,[],"[""New York""]",1,
"From Montreal, I’d like to visit a famous U.S. city by train if possible.",nohint,3,select_transport,[],"[""train""]",1,
"From Montreal, I’d like to visit a famous U.S. city by train if possible.",nohint,4,confirm_booking,[],[],1,
I want to go from Vancouver to a large American cultural city.,nohint,1,set_origin,[],"[""Vancouver""]",1,
I want to go from Vancouver to a large American cultural city.,nohint,2,set_destination,[],"[""New York""]",1,
I want to go from Vancouver to a large American cultural city.,nohint,3,select_transport,[],"[""flight""]",1,
I want to go from Vancouver to a large American cultural city.,nohint,4,confirm_booking,[],[],1,
"Starting in Mexico City, plan me a route to a European capital.",nohint,1,set_origin,[],"[""Mexico City""]",1,
"Starting in Mexico City, plan me a route to a European capital.",nohint,2,set_destination,[],"[""European capital""]",1,
"Starting in Mexico City, plan me a route to a European capital.",nohint,3,select_transport,[],"[""flight""]",1,
"Starting in Mexico City, plan me a route to a European capital.",nohint,4,confirm_booking,[],[],1,
"From Buenos Aires, I’d like to fly to a cultural city in Europe.",nohint,1,set_origin,[],"[""Buenos Aires""]",1,
"From Buenos Aires, I’d like to fly to a cultural city in Europe.",nohint,2,set_destination,[],"[""a cultural city in Europe""]",1,
"From Buenos Aires, I’d like to fly to a cultural city in Europe.",nohint,3,select_transport,[],"[""flight""]",1,
"From Buenos Aires, I’d like to fly to a cultural city in Europe.",nohint,4,confirm_booking,[],[],1,
I want to leave São Paulo for a well-known European art city.,nohint,1,set_origin,[],"[""São Paulo""]",1,
I want to leave São Paulo for a well-known European art city.,nohint,2,set_destination,[],"[""Paris""]",1,
I want to leave São Paulo for a well-known European art city.,nohint,3,select_transport,[],"[""flight""]",1,
I want to leave São Paulo for a well-known European art city.,nohint,4,confirm_booking,[],[],1,
Plan me a journey from Cape Town to a European destination with colder weather.,nohint,1,set_origin,[],"[""Cape Town""]",1,
Plan me a journey from Cape Town to a European destination with colder weather.,nohint,2,set_destination,[],"[""Oslo""]",1,
Plan me a journey from Cape Town to a European destination with colder weather.,nohint,3,select_transport,[],"[""flight""]",1,
Plan me a journey from Cape Town to a European destination with colder weather.,nohint,4,confirm_booking,[],[],1,
I’d like to leave Cairo and head to a major European cultural city.,nohint,1,set_origin,[],"[""Cairo""]",1,
I’d like to leave Cairo and head to a major European cultural city.,nohint,2,set_destination,[],"[""Paris""]",1,
I’d like to leave Cairo and head to a major European cultural city.,nohint,3,select_transport,[],"[""flight""]",1,
I’d like to leave Cairo and head to a major European cultural city.,nohint,4,confirm_booking,[],[],1,
"From Dubai, I want to travel to a European destination by plane.",nohint,1,set_origin,[],"[""Dubai""]",1,
"From Dubai, I want to travel to a European destination by plane.",nohint,2,set_destination,[],"[""European destination""]",1,
"From Dubai, I want to travel to a European destination by plane.",nohint,3,select_transport,[],"[""flight""]",1,
"From Dubai, I want to travel to a European destination by plane.",nohint,4,confirm_booking,[],[],1,
