question,variant,step,tool,planned_args,agent_args,pre_ok,error
Help me plan a winter journey from Oslo to a warmer European city.,hint,3,select_transport,"[""flight""]","[""flight""]",1,
Help me plan a winter journey from Oslo to a warmer European city.,hint,4,confirm_booking,[],[],1,
"From Stockholm, I’d like to travel south to a European city by train, if possible.",hint,1,set_origin,"[""Stockholm""]","[""Stockholm""]",1,
"From Stockholm, I’d like to travel south to a European city by train, if possible.",hint,2,set_destination,"[""Copenhagen""]","[""Copenhagen""]",1,
"From Stockholm, I’d like to travel south to a European city by train, if possible.",hint,3,select_transport,"[""train""]","[""train""]",1,
"From Stockholm, I’d like to travel south to a European city by train, if possible.",hint,4,confirm_booking,[],[],1,
"Starting in Helsinki, plan me a route to a historic city in Central Europe.",hint,1,set_origin,"[""Helsinki""]","[""Helsinki""]",1,
"Starting in Helsinki, plan me a route to a historic city in Central Europe.",hint,2,set_destination,"[""Prague""]","[""Prague""]",1,
"Starting in Helsinki, plan me a route to a historic city in Central Europe.",hint,3,select_transport,"[""flight""]","[""flight""]",1,
"Starting in Helsinki, plan me a route to a historic city in Central Europe.",hint,4,confirm_booking,[],[],1,
I’m in Copenhagen and want to reach a famous art city in Europe by flight.,hint,1,set_origin,"[""Copenhagen""]","[""Copenhagen""]",1,
I’m in Copenhagen and want to reach a famous art city in Europe by flight.,hint,2,set_destination,"[""Paris""]","[""Paris""]",1,
I’m in Copenhagen and want to reach a famous art city in Europe by flight.,hint,3,select_transport,"[""flight""]","[""flight""]",1,
I’m in Copenhagen and want to reach a famous art city in Europe by flight.,hint,4,confirm_booking,[],[],1,
"From Istanbul, I’d like to travel to a European capital where I can experience history.",hint,1,set_origin,"[""Istanbul""]","[""Istanbul""]",1,
"From Istanbul, I’d like to travel to a European capital where I can experience history.",hint,2,set_destination,"[""Rome""]","[""Rome""]",1,
"From Istanbul, I’d like to travel to a European capital where I can experience history.",hint,3,select_transport,"[""flight""]","[""flight""]",1,
"From Istanbul, I’d like to travel to a European capital where I can experience history.",hint,4,confirm_booking,[],[],1,
Help me leave Warsaw for a Western European cultural hub.,hint,1,set_origin,"[""Warsaw""]","[""Warsaw""]",1,
Help me leave Warsaw for a Western European cultural hub.,hint,2,set_destination,"[""Amsterdam""]","[""Amsterdam""]",1,
Help me leave Warsaw for a Western European cultural hub.,hint,3,select_transport,"[""train""]","[""train""]",1,
Help me leave Warsaw for a Western European cultural hub.,hint,4,confirm_booking,[],[],1,
"From Budapest, I’d like to plan a journey to a nearby capital city.",hint,1,set_origin,"[""Budapest""]","[""Budapest""]",1,
"From Budapest, I’d like to plan a journey to a nearby capital city.",hint,2,set_destination,"[""Vienna""]","[""Vienna""]",1,
"From Budapest, I’d like to plan a journey to a nearby capital city.",hint,3,select_transport,"[""train""]","[""train""]",1,
"From Budapest, I’d like to plan a journey to a nearby capital city.",hint,4,confirm_booking,[],[],1,
I want to leave Brussels and reach a sunny European destination.,hint,1,set_origin,"[""Brussels""]","[""Brussels""]",1,
I want to leave Brussels and reach a sunny European destination.,hint,2,set_destination,"[""Barcelona""]","[""Barcelona""]",1,
I want to leave Brussels and reach a sunny European destination.,hint,3,select_transport,"[""flight""]","[""flight""]",1,
I want to leave Brussels and reach a sunny European destination.,hint,4,confirm_booking,[],[],1,
"From Lisbon, plan me a trip to a colder Northern European city.",hint,1,set_origin,"[""Lisbon""]","[""Lisbon""]",1,
"From Lisbon, plan me a trip to a colder Northern European city.",hint,2,set_destination,"[""Oslo""]","[""Oslo""]",1,
"From Lisbon, plan me a trip to a colder Northern European city.",hint,3,select_transport,"[""flight""]","[""flight""]",1,
"From Lisbon, plan me a trip to a colder Northern European city.",hint,4,confirm_booking,[],[],1,
I’d like to travel from Dublin to a scenic European city with castles.,hint,1,set_origin,"[""Dublin""]","[""Dublin""]",1,
I’d like to travel from Dublin to a scenic European city with castles.,hint,2,set_destination,"[""Prague""]","[""Prague""]",1,
I’d like to travel from Dublin to a scenic European city with castles.,hint,3,select_transport,"[""flight""]","[""flight""]",1,
I’d like to travel from Dublin to a scenic European city with castles.,hint,4,confirm_booking,[],[],1,
"Starting in Edinburgh, I want to end up in a romantic city on the continent.",hint,1,set_origin,"[""Edinburgh""]","[""Edinburgh""]",1,
"Starting in Edinburgh, I want to end up in a romantic city on the continent.",hint,2,set_destination,"[""Paris""]","[""Paris""]",1,
"Starting in Edinburgh, I want to end up in a romantic city on the continent.",hint,3,select_transport,"[""train""]","[""train""]",1,
"Starting in Edinburgh, I want to end up in a romantic city on the continent.",hint,4,confirm_booking,[],[],1,
"From Montreal, I’d like to visit a famous U.S. city by train if possible.",hint,1,set_origin,"[""Montreal""]","[""Montreal""]",1,
"From Montreal, I’d like to visit a famous U.S. city by train if possible.",hint,2,set_destination,"[""New York""]","[""New York""]",1,
"From Montreal, I’d like to visit a famous U.S. city by train if possible.",hint,3,select_transport,"[""train""]","[""train""]",1,
"From Montreal, I’d like to visit a famous U.S. city by train if possible.",hint,4,confirm_booking,[],[],1,
I want to go from Vancouver to a large American cultural city.,hint,1,set_origin,"[""Vancouver""]","[""Vancouver""]",1,
I want to go from Vancouver to a large American cultural city.,hint,2,set_destination,"[""Los Angeles""]","[""Los Angeles""]",1,
I want to go from Vancouver to a large American cultural city.,hint,3,select_transport,"[""flight""]","[""flight""]",1,
I want to go from Vancouver to a large American cultural city.,hint,4,confirm_booking,[],[],1,
"Starting in Mexico City, plan me a route to a European capital.",hint,1,set_origin,"[""Mexico City""]","[""Mexico City""]",1,
"Starting in Mexico City, plan me a route to a European capital.",hint,2,set_destination,"[""Madrid""]","[""Madrid""]",1,
"Starting in Mexico City, plan me a route to a European capital.",hint,3,select_transport,"[""flight""]","[""flight""]",1,
"Starting in Mexico City, plan me a route to a European capital.",hint,4,confirm_booking,[],[],1,
"From Buenos Aires, I’d like to fly to a cultural city in Europe.",hint,1,set_origin,"[""Buenos Aires""]","[""Buenos Aires""]",1,
"From Buenos Aires, I’d like to fly to a cultural city in Europe.",hint,2,set_destination,"[""Paris""]","[""Paris""]",1,
"From Buenos Aires, I’d like to fly to a cultural city in Europe.",hint,3,select_transport,"[""flight""]","[""flight""]",1,
"From Buenos Aires, I’d like to fly to a cultural city in Europe.",hint,4,confirm_booking,[],[],1,
I want to leave São Paulo for a well-known European art city.,hint,1,set_origin,"[""São Paulo""]","[""São Paulo""]",1,
I want to leave São Paulo for a well-known European art city.,hint,2,set_destination,"[""Paris""]","[""Paris""]",1,
I want to leave São Paulo for a well-known European art city.,hint,3,select_transport,"[""flight""]","[""flight""]",1,
I want to leave São Paulo for a well-known European art city.,hint,4,confirm_booking,[],[],1,
Plan me a journey from Cape Town to a European destination with colder weather.,hint,1,set_origin,"[""Cape Town""]","[""Cape Town""]",1,
Plan me a journey from Cape Town to a European destination with colder weather.,hint,2,set_destination,"[""Amsterdam""]","[""Amsterdam""]",1,
Plan me a journey from Cape Town to a European destination with colder weather.,hint,3,select_transport,"[""flight""]","[""flight""]",1,
Plan me a journey from Cape Town to a European destination with colder weather.,hint,4,confirm_booking,[],[],1,
I’d like to leave Cairo and head to a major European cultural city.,hint,1,set_origin,"[""Cairo""]","[""Cairo""]",1,
I’d like to leave Cairo and head to a major European cultural city.,hint,2,set_destination,"[""Paris""]","[""Paris""]",1,
I’d like to leave Cairo and head to a major European cultural city.,hint,3,select_transport,"[""flight""]","[""flight""]",1,
I’d like to leave Cairo and head to a major European cultural city.,hint,4,confirm_booking,[],[],1,
"From Dubai, I want to travel to a European destination by plane.",hint,1,set_origin,"[""Dubai""]","[""Dubai""]",1,
"From Dubai, I want to travel to a European destination by plane.",hint,2,set_destination,"[""Paris""]","[""Paris""]",1,
"From Dubai, I want to travel to a European destination by plane.",hint,3,select_transport,"[""plane""]","[""plane""]",1,
"From Dubai, I want to travel to a European destination by plane.",hint,4,confirm_booking,[],[],1,
